Gen,df0_t1,df1_t1,df2_t1,df3_t1,df4_t1,df5_t1,df6_t1,df7_t1,df8_t1,df9_t1,df10_t1,df11_t1,df12_t1,df13_t1,df14_t1,df15_t1
0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0,7,7,10,7,9,8,8,8,6,9,7,9,7,5,8,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,7,10,6,9,9,4,8,5,8,6,3,7,4,6,5
1,1,4,6,4,6,5,3,4,4,6,6,3,4,4,5,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,11,14,9,11,13,6,8,9,14,12,6,8,6,9,10
2,4,11,11,5,5,9,5,3,7,11,7,4,7,4,7,4
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6,10,6,10,8,4,8,5,8,8,3,6,4,1,5
3,1,4,4,6,4,3,3,5,5,5,5,1,3,4,0,5
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,9,13,6,9,10,3,8,5,9,12,3,6,4,0,5
4,0,6,10,4,8,6,3,6,2,5,9,3,3,2,0,2
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0